InvoiceNo,SKU,Quantity,Discount,Order Date,Order Month,Order Year,Customer ID,Payment Method,SalesChannel,Shipping Date,Shipping Month,Shipping Year,Product Category,Subcategory,Season,Product Gender,Price,Cost,Country,Customer Name,Customer Gender,Age,ShipmentProvider,Warehouse,Priority
100178,ACC-AS-F-600211870,"	1",0.2,2/1/2020,1,2020,63650,Credit Card ,In Store,2\1\2020,1,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Norway,Mona Pettersen,Female,40,,,
100485,ACC-AS-F-600211870,"	1",0.2,19/1/2020,1,2020,95940,Credit Card,In Store ,19\1\2020,1,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Australia,Monica Turner,@female,34,,,
100485,ACC-AS-F-600211870,"	1",0.2,19/1/2020,1,2020,95940,Credit Card,In Store,19\1\2020,1,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Australia,Monica Turner,Female,34,,,
100338,ACC-AS-F-600211870,"	1",0.2,16/1/2020,1,2020,61730, Credit Card ,In Store ,1/16/2020,1,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Italy,Eliana Pisani-Giolitti,@female,53,,,
101230,ACC-AS-F-600211870,"	1",0.2,10/2/2020,2,2020,53162,Credit Card,In Store ,2/10/2020,2,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Italy,Francesca Nicolini,@female,53,,,
106097,ACC-AS-F-600211870,"	1",0.2,25/6/2020,6,2020,95535,Credit Card ,In Store,25\6\2020,6,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Australia,Melissa Peterson,@female,43,,,
106249,ACC-AS-F-600211870,"	1",0.2,7/6/2020,6,2020,74834,Credit Card,In Store,7\6\2020,6,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Portugal,Ins Domingues,@female,31,,,
107981,ACC-AS-F-600211870,"	1",0.2,4/8/2020,8,2020,99463, Credit Card,In Store,8/4/2020,8,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Australia,Amy Carlson,Female,39,,,
113270,ACC-AS-F-600211870,"	1",0.2,28/12/2020,12,2020,52527, Credit Card,In Store,12/28/2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Netherlands,Thom Vaessen,Female,55,,,
113407,ACC-AS-F-600211870,"	1",0.2,16/12/2020,12,2020,81199,Credit Card,In Store,12/16/2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Netherlands,Ilse Keltenie,Female,45,,,
113443,ACC-AS-F-600211870,"	1",0.2,22/12/2020,12,2020,17255, Credit Card,In Store,12/22/2020,12,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Germany,Susan Hesse,Female,25,,,
113632,ACC-AS-F-600211870,"	1",0.2,18/12/2020,12,2020,68699,Credit Card ,In Store ,18\12\2020,12,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Sweden,Elisabet Blom,@female,19,,,
114578,ACC-AS-F-600211870,"	1",0.2,31/12/2020,12,2020,86353, Credit Card ,In Store ,12/31/2020,12,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,United Kingdom,Patricia Browne,@female,53,,,
100257,ACC-AS-F-600211870,"	1",0.2,4/1/2020,1,2020,47633,Credit Card,In Store,1/4/2020,1,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,United States,Shane Burton,Male,37,,,
101121,ACC-AS-F-600211870,"	1",0.2,6/2/2020,2,2020,70678, Credit Card,In Store,2/6/2020,2,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,France,Bernard-Patrick Mends,@male,48,,,
101314,ACC-AS-F-600211870,"	1",0.2,17/2/2020,2,2020,44972, Credit Card,In Store ,2/17/2020,2,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Germany,Heinrich Schaaf,Male,18,,,
106145,ACC-AS-F-600211870,"	1",0.2,26/6/2020,6,2020,17671,Credit Card ,In Store,26\6\2020,6,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Italy,Rolando Interminelli,Male,50,,,
107985,ACC-AS-F-600211870,"	1",0.2,11/8/2020,8,2020,83729,Credit Card,In Store ,8/11/2020,8,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Belgium,Stphane-Gilles Leclercq,Male,18,,,
113741,ACC-AS-F-600211870,"	1",0.2,25/12/2020,12,2020,66674, Credit Card ,In Store ,25\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Italy,Graziano Ossola,@male,47,,,
114140,ACC-AS-F-600211870,"	1",0.2,3/12/2020,12,2020,98475, Credit Card ,In Store ,3\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,United States,Robert Torres,Male,56,,,
115015,ACC-AS-F-600211870,"	1",0.2,11/12/2020,12,2020,39976, Credit Card,In Store ,11\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Sweden,Marcus Dahl,@male,42,,,
